formula,target
URbO3,-10.746
HoMnO3,3.421
AcPrO3,4.449
GeReO3,2.429
TmHoO3,0.436
NdTeO3,1.424
PbAgO3,-0.648
YPdO3,-0.022
PbBeO3,-2.682
MgAgO3,-2.412
MnRbO3,-3.963
ThNaO3,-2.198
MnInO3,-2.326
ZrPdO3,-1.494
EuMnO3,1.741
PtMgO3,-6.597
ZrNdO3,-7.217
AsAuO3,-1.212
AsPbO3,-3.677
SiCrO3,-0.629
OsNbO3,1.845
TlCoO3,-0.542
RePuO3,-5.018
LiPbO3,-1.895
RuHfO3,0.708
SrBeO3,-1.601
CeKO3,-3.194
MgErO3,-2.566
BCaO3,-8.695
SbNbO3,2.936
ReCeO3,-10.385
BSrO3,-9.204
AuPuO3,-0.150
NaHoO3,-1.332
RuBeO3,-3.317
RhWO3,4.107
SnNaO3,-8.849
NdVO3,4.373
CdUO3,4.083
TaUO3,0.396
ErAsO3,2.013
AsHgO3,-5.427
BGeO3,-0.598
KSiO3,-0.496
InBiO3,-1.408
AcNbO3,4.946
BaGeO3,3.341
MgPrO3,-3.347
Mn2O3,0.319
BYO3,-5.185
AlRbO3,-15.897
HfPtO3,-4.457
BeNiO3,-3.345
ReYbO3,-13.025
HfMnO3,1.450
WRuO3,-4.789
PtZrO3,-1.454
IrFeO3,-4.804
MnPrO3,-3.338
GdCrO3,4.365
RuTbO3,-6.280
TaTlO3,-7.196
YbTlO3,-1.324
ZnNaO3,-5.226
TmLaO3,1.591
GaLiO3,-5.544
ZrPaO3,1.995
DyCuO3,0.680
BePuO3,-1.600
CuAsO3,0.910
ReBeO3,-1.923
TmTcO3,0.735
TaKO3,-21.785
GdPmO3,-0.871
Dy2O3,0.855
OsMoO3,0.921
AgSmO3,-3.430
ThBO3,4.341
BiLaO3,-3.847
ZrMgO3,0.770
LuHgO3,-1.412
TcKO3,-12.599
DySbO3,0.890
YAcO3,0.977
WIrO3,-6.691
IrCaO3,-12.476
HgSnO3,0.557
AlCeO3,-7.106
CdAgO3,-1.440
PrGeO3,3.236
IrThO3,-4.929
ErNiO3,0.935
SnYO3,-2.492
MoSnO3,1.663
PtErO3,-6.180
NiAcO3,-5.890
CsPmO3,-0.786
PbPtO3,0.893
PaBeO3,4.249
CaTmO3,-1.074
HoTaO3,3.002
LuAgO3,-0.965
SiSmO3,-6.368
PmZrO3,4.558
RhAgO3,-6.797
GaAuO3,-0.571
CeRbO3,-2.543
GaCuO3,-3.683
GaHgO3,-5.349
NaTmO3,-1.205
SrCuO3,-0.061
HoMoO3,1.541
LuAuO3,-1.049
CuNdO3,-3.862
CrYO3,-5.199
PbSmO3,-1.183
PuTcO3,1.436
GaSnO3,0.718
TaBiO3,-5.978
TiCeO3,-7.580
GeSiO3,5.488
MoNaO3,-13.886
UDyO3,3.396
CdPtO3,-0.550
PrSmO3,3.759
BiTmO3,-0.198
CuHoO3,-3.538
GdAlO3,6.350
KWO3,6.026
HgAgO3,-1.923
ThVO3,3.910
AlHoO3,-6.308
InYbO3,-5.144
HfSbO3,-3.967
PbNdO3,-1.161
NbPtO3,-4.786
ThGaO3,3.842
BeGdO3,-5.439
TlNiO3,-1.463
PuZnO3,-0.405
MgPuO3,1.122
NpNaO3,-4.152
GdSnO3,2.372
PrAcO3,1.878
CaTbO3,-1.243
VReO3,1.246
AuMgO3,-4.911
HfCeO3,-2.899
TmVO3,3.816
OsAgO3,-10.331
TiTmO3,-4.261
LuFeO3,2.726
TiDyO3,-5.191
RbCuO3,-2.068
AsPaO3,2.575
MoHfO3,0.470
SrReO3,4.409
MoBO3,1.516
AlOsO3,1.900
SbRbO3,-11.304
AsScO3,-2.666
ZnNpO3,-0.126
NiReO3,0.228
TlThO3,0.058
CuSrO3,-8.824
NpPdO3,0.725
CrCeO3,-5.240
TlMgO3,-3.240
BeLiO3,-8.178
CaBiO3,1.441
BaSiO3,4.872
BaCsO3,-0.670
TiUO3,3.769
MoNiO3,-3.207
RhBaO3,-11.435
AsSbO3,1.237
RhHgO3,-8.149
TmBaO3,-8.566
PtCrO3,-0.677
GeRuO3,2.002
CeNaO3,-1.660
VScO3,-3.636
ReBaO3,-16.108
PtBaO3,-12.328
FeTlO3,-5.325
RbAgO3,-1.698
RuUO3,1.326
YbAuO3,-0.981
KNbO3,5.482
VMgO3,-5.070
LuCuO3,0.256
YbTbO3,-1.472
BaFeO3,1.185
LuLiO3,-1.761
CsMgO3,-2.138
ThReO3,0.644
CrZrO3,1.022
AuDyO3,-4.694
CoMoO3,3.332
ReDyO3,-8.509
NdFeO3,3.830
CaCoO3,0.720
YbYO3,-1.615
YDyO3,1.026
CuMgO3,-4.654
InPbO3,-2.369
AcErO3,5.682
TcYbO3,-9.763
PrLuO3,5.041
TiHoO3,-4.886
YErO3,1.808
RbBO3,-5.122
HoLiO3,-1.396
NpTcO3,2.192
ZnBeO3,-3.563
CuBaO3,-8.108
VTlO3,-5.310
FeTeO3,0.539
KFeO3,-0.610
CeCuO3,1.437
CoHfO3,0.544
ZnMoO3,3.816
TbIrO3,-0.798
VYO3,-5.694
PmTmO3,4.699
TaBeO3,3.022
TeTaO3,3.271
IrErO3,-7.964
CaPaO3,5.379
HoCuO3,0.608
ScVO3,2.974
InErO3,-4.052
SmUO3,-1.117
TcCoO3,-1.797
BiPmO3,-2.951
ScHoO3,-1.919
BaPaO3,6.391
SmBiO3,1.195
LuLaO3,1.309
MoReO3,1.194
PmTaO3,3.838
HgZnO3,-2.447
SrCdO3,-0.864
BHoO3,-5.168
AgAsO3,0.529
HfGdO3,-7.690
AgTiO3,-0.160
IrLaO3,-9.607
PdDyO3,-4.539
V2O3,0.598
AsPdO3,-0.714
GeWO3,3.963
Cd2O3,-2.691
NpFeO3,4.556
BeNpO3,2.367
CdTcO3,3.219
PaYO3,3.128
ScPaO3,3.280
MnAgO3,-1.753
GaNaO3,-10.839
YbZnO3,-1.072
TaSrO3,-17.169
SnTmO3,-1.145
EuThO3,5.479
LiNbO3,4.763
BiSmO3,-2.646
PbPdO3,0.332
SnRhO3,0.885
CsTiO3,-0.798
HfMoO3,-0.904
MnPdO3,-1.086
PdSnO3,-0.903
KMoO3,5.020
ThPbO3,-0.361
DyZrO3,4.153
YHoO3,1.406
ErEuO3,-2.260
SbCaO3,-6.981
DyTbO3,0.427
RePbO3,-9.108
ScInO3,0.677
SmCoO3,2.931
CaNdO3,-1.416
ZrMoO3,0.236
BiLiO3,-3.445
TcInO3,-4.734
TmNdO3,-2.718
HgTeO3,0.164
SnMgO3,-4.667
DyPtO3,-0.555
MoMnO3,-2.055
CaTiO3,5.068
IrOsO3,-0.972
AlZnO3,-5.063
HgAsO3,1.280
TlPuO3,0.876
RhHoO3,-5.625
CaTaO3,5.448
SnWO3,4.517
TmRbO3,-9.129
TlPdO3,-0.958
MgThO3,2.296
HgHoO3,-2.919
TcCeO3,-6.743
ScSrO3,-6.833
LaTaO3,4.629
EuGaO3,-0.252
SmCaO3,-2.299
InReO3,4.128
FeBO3,-1.342
SiCaO3,-9.925
OsDyO3,-8.644
NdDyO3,4.401
ThScO3,4.593
NaSbO3,2.765
ScPdO3,-1.005
AsCdO3,-5.710
CaAuO3,-0.703
ReNaO3,-15.373
RhOsO3,2.063
CrSrO3,-14.856
NpPaO3,3.381
PrNbO3,4.097
LaLuO3,5.238
ThErO3,3.610
DyPmO3,-1.450
SnBeO3,-2.775
PtTiO3,-0.195
TlErO3,-2.990
MnCrO3,0.722
TmAlO3,6.232
BeTaO3,1.696
EuPbO3,1.477
GaYO3,-5.202
NbMgO3,-2.489
RbNpO3,1.678
HgBiO3,-0.785
MgHfO3,3.554
CsPaO3,5.841
GePdO3,-0.489
BiNpO3,0.299
SrRhO3,1.774
RbMgO3,-1.889
ScSbO3,1.271
MgEuO3,-4.319
LuNpO3,1.495
LiSmO3,-2.137
ThGdO3,2.857
AlTmO3,-6.024
BiTeO3,-0.073
ScPrO3,-5.149
SnLaO3,-3.040
PbSnO3,3.602
PmSiO3,4.692
ReMnO3,-4.334
LuPuO3,2.614
SrPdO3,0.177
DyGdO3,0.097
YPrO3,-2.360
NaNiO3,-1.502
CdAsO3,1.426
ScOsO3,-0.311
LiSiO3,-0.049
GaYbO3,-6.984
KPtO3,-0.200
SrBaO3,-1.445
MoBeO3,-0.936
SnBaO3,-6.743
CrFeO3,-1.245
InScO3,-2.530
TcBeO3,-2.501
LuNaO3,-3.364
GeThO3,2.191
GdPuO3,0.039
CuPdO3,-2.630
PtLaO3,-7.720
SrAsO3,2.375
UWO3,2.108
AlRhO3,-2.563
PtNiO3,-4.414
GdSmO3,-0.462
LiBeO3,-3.539
BaHgO3,-0.106
AsUO3,2.774
LaEuO3,-1.022
SnTiO3,4.657
YPmO3,-1.227
NaAsO3,1.226
TmMoO3,1.260
Y2O3,1.075
BaMnO3,1.152
SbBiO3,0.330
PrBaO3,-3.370
IrCdO3,-11.289
TaPrO3,-12.693
LiPaO3,5.528
NaScO3,-1.205
CoThO3,1.599
PdCsO3,-11.243
CrZnO3,-4.986
CrCuO3,-3.867
PbAuO3,0.078
KTeO3,1.684
LiWO3,4.814
CsYbO3,-1.530
NdCuO3,1.235
KThO3,0.358
GaSiO3,3.184
PmSnO3,2.569
InGaO3,-1.252
CeIrO3,0.432
PmPuO3,-0.823
NpTlO3,1.144
AcRhO3,1.899
ZnHoO3,-4.043
SrCsO3,-1.097
DyTiO3,4.715
CoVO3,1.271
GaTbO3,-4.648
BiSbO3,1.105
PbTeO3,2.828
CrUO3,3.426
SmLiO3,-0.931
SbCeO3,-5.817
CoPtO3,-1.168
NdGeO3,3.182
ErLuO3,2.182
CaMnO3,1.209
YbSbO3,2.452
RbCdO3,-1.523
PaHgO3,-2.774
LiNiO3,-2.014
AgPtO3,-0.739
IrSmO3,-9.274
LuSiO3,4.364
TiLaO3,-7.528
GeTiO3,4.252
EuTbO3,-0.919
TaTeO3,-6.409
CdCoO3,-0.458
AgTbO3,-3.403
NdZrO3,4.658
ZnTmO3,-3.788
RhReO3,3.064
PtAlO3,-1.320
AsGdO3,-5.810
DyAuO3,-0.674
SnVO3,3.118
SnFeO3,0.792
DyRbO3,-8.219
IrCuO3,-6.058
CsGaO3,-2.267
RbTlO3,-1.528
YbSmO3,-1.644
AcGdO3,5.268
TeGeO3,1.866
PaZrO3,2.907
BIrO3,0.614
ThGeO3,1.598
TcNpO3,-2.154
AlBaO3,-9.710
RhMoO3,3.479
GdCeO3,-2.684
YBiO3,0.981
SbOsO3,0.867
MgMnO3,0.004
CuEuO3,-6.969
CsLiO3,-3.211
SbGdO3,-3.655
IrRbO3,-20.814
PtInO3,-5.840
TcBO3,0.215
RePdO3,-3.925
PrTiO3,5.310
ReCdO3,-11.737
GeTmO3,-2.179
ReTaO3,1.980
TeThO3,-0.737
TiAsO3,0.483
PbSrO3,-3.800
YbCsO3,-1.623
NaTeO3,1.619
NaBiO3,0.270
CoBO3,-1.705
BeSrO3,-10.413
LiTeO3,1.407
TlAcO3,-1.622
Ti2O3,2.661
GeAuO3,-0.886
HfPrO3,-2.349
PdGeO3,0.441
YAsO3,2.181
PrMnO3,3.883
SrUO3,5.193
AsAlO3,1.583
AgSrO3,-7.543
HfRbO3,-19.068
LaGdO3,3.005
ErNbO3,2.890
EuZnO3,-0.550
TbCaO3,-2.782
IrHfO3,-1.374
RhKO3,-7.437
BaAuO3,0.540
TiNdO3,-6.992
NbGaO3,-0.130
Be2O3,-5.051
RbAlO3,-1.863
DyZnO3,-0.224
LuTiO3,4.341
CeAuO3,0.265
RbPaO3,6.242
SbRuO3,1.154
TlScO3,-2.416
TbSiO3,4.622
CrPrO3,-5.186
TcHfO3,1.949
PuPmO3,-1.198
CaFeO3,1.132
PuMoO3,3.940
BUO3,4.164
CsAgO3,-1.780
AcCsO3,-1.411
PbTmO3,-0.874
TlPmO3,-3.370
Os2O3,-2.406
CeMnO3,3.949
SmPmO3,3.170
MgAlO3,-1.029
LiCuO3,-2.175
AgGdO3,-3.470
CuTlO3,-4.277
MgUO3,3.749
GeLaO3,-3.535
PtTaO3,2.354
AsLuO3,-4.140
TmLiO3,-1.574
TaTmO3,-8.045
NbTeO3,-3.040
AgPuO3,0.281
CsSmO3,-0.817
ScTbO3,-2.611
VIrO3,-1.000
MnPtO3,-1.147
PdPuO3,-0.228
WGaO3,-2.514
MoCdO3,-9.669
ReHoO3,-8.228
FeAsO3,0.012
PaPtO3,-1.815
ThNbO3,2.293
CuPuO3,0.726
EuCoO3,1.590
KRbO3,-2.794
WCaO3,-13.482
CeSnO3,2.823
BTcO3,3.031
ZrZnO3,-0.762
TcVO3,0.505
MgSrO3,-6.291
ErAlO3,6.255
YbCrO3,1.718
YbSnO3,3.351
LuBeO3,-1.355
AlTlO3,-6.702
ZrAsO3,0.094
BeNdO3,-5.982
ZrPuO3,-4.900
NaSiO3,0.213
MgHoO3,-2.614
EuUO3,4.988
HoNbO3,2.995
GeMgO3,-5.364
MoAgO3,-9.289
TeIrO3,0.617
HoEuO3,-2.101
CrTiO3,1.738
FeEuO3,-7.932
BaNaO3,-1.796
SnCrO3,1.680
ThNdO3,1.698
CsCeO3,-0.693
MnRuO3,1.401
CsSnO3,-0.745
RbHoO3,-0.738
ZrGdO3,-5.804
CsSbO3,0.820
SbGeO3,3.445
NaAgO3,-2.055
PmPrO3,2.660
OsTmO3,-7.861
MoTiO3,1.916
Ge2O3,3.616
CsGdO3,-0.807
GaPtO3,-0.123
TaBaO3,-3.556
YbNpO3,3.523
MnSmO3,-3.085
AcTeO3,2.116
ZnTbO3,-4.079
HoZnO3,-0.293
SrVO3,3.786
WTlO3,-13.345
AlCoO3,-1.991
OsSiO3,1.461
YSnO3,2.368
BiSrO3,-5.909
BaTiO3,5.357
TcLaO3,-6.403
TiMnO3,-0.705
NbKO3,-19.044
ThLiO3,-0.614
PuAlO3,4.571
AgTcO3,3.523
CrPdO3,-2.471
KAuO3,-1.585
YbOsO3,1.732
OsHgO3,-11.671
GeAlO3,-0.233
ThNiO3,4.005
NbAlO3,3.221
RhEuO3,-9.624
SmNaO3,-2.280
CaSrO3,-2.813
PtSmO3,-7.370
KTaO3,6.626
AgYbO3,-5.322
YTeO3,1.033
VCeO3,-7.387
BeAsO3,0.562
TiRuO3,-0.586
BiTlO3,-1.519
ReSbO3,-1.994
CaPbO3,1.239
AlEuO3,-8.901
TiCdO3,-7.258
WTiO3,-3.038
TaAlO3,3.961
SnOsO3,2.825
AcPmO3,4.845
CaAsO3,2.158
CrBeO3,-4.090
CeAgO3,0.331
TmBeO3,-1.191
TmHfO3,4.327
AsGeO3,1.493
LuPmO3,-2.609
NiBO3,-4.481
EuIrO3,1.311
DyGeO3,2.802
BKO3,-4.527
MoHgO3,-10.695
GaSbO3,2.604
HfLiO3,-3.019
NaCuO3,-1.586
CdSrO3,-6.095
NbNaO3,-10.647
MoYbO3,-10.578
AuUO3,2.881
GeCeO3,-4.155
AsTiO3,0.658
HgNbO3,2.488
CoSiO3,3.962
AlBeO3,-4.029
WScO3,-5.206
LaBO3,4.680
AsNdO3,-6.772
GeYO3,-3.068
YbBiO3,1.166
GaTeO3,1.445
CeNdO3,3.435
TcWO3,3.392
MnZnO3,-2.793
PdBaO3,-9.143
MgOsO3,1.023
BeSbO3,-0.430
BWO3,4.583
YSiO3,4.666
BScO3,-5.495
AuNaO3,-10.045
TbSmO3,-0.748
AsCuO3,-0.831
ReBiO3,-7.977
CaBaO3,-1.978
AuPbO3,-2.377
CeYbO3,-0.877
KLaO3,-0.830
LaErO3,4.912
VPaO3,3.863
AsMgO3,-3.805
PuWO3,3.860
AgMnO3,-0.942
SrLaO3,-0.358
DySmO3,-1.020
CaAcO3,-0.530
PdReO3,3.701
HoHfO3,4.459
HfGaO3,2.160
TlCrO3,0.334
YbScO3,-1.039
TmPdO3,-0.365
SiKO3,-14.070
YLiO3,-1.332
SiAcO3,-5.849
YbRuO3,2.043
BiBaO3,-7.849
BaPmO3,0.072
NbBO3,2.549
AcSmO3,4.949
SbPdO3,0.053
ScNpO3,2.058
LuEuO3,-3.424
AuCrO3,-0.144
PrFeO3,3.968
RuTiO3,0.353
LaRuO3,2.045
KBiO3,0.393
AgCrO3,0.037
TbFeO3,3.264
BePmO3,-5.832
SiOsO3,1.390
BPmO3,-4.994
NbTcO3,-0.583
YbCuO3,-0.353
OsBeO3,-2.969
PtRbO3,-15.058
PrLaO3,2.547
AuCdO3,-6.003
CdGeO3,3.067
BiGaO3,4.012
LuUO3,1.311
RbSmO3,-0.755
CdRuO3,2.096
TbAgO3,-0.487
ZrNbO3,1.704
CoLiO3,-5.738
Ce2O3,2.825
URhO3,0.540
ZrHfO3,3.708
LaAgO3,0.272
ZrRuO3,-1.215
BiUO3,-2.322
GeInO3,-1.987
YAlO3,6.272
BaReO3,4.794
LuVO3,3.721
NdNpO3,3.451
PtCdO3,-9.196
LuNiO3,0.736
BReO3,3.731
BePtO3,-1.793
ZrAcO3,-2.736
RuNpO3,-1.629
IrRhO3,-1.620
CrSiO3,4.290
TcMgO3,-5.266
TcTbO3,-5.648
PdCdO3,-7.230
MnRhO3,0.048
NaErO3,-1.302
ZnMnO3,-0.703
LaHgO3,-0.136
BiHoO3,-0.821
TcNdO3,-6.439
WUO3,1.857
In2O3,-3.590
TlSmO3,-3.007
MnErO3,-2.457
SrIrO3,1.995
HfSmO3,-8.751
SrOsO3,3.325
TcAlO3,0.406
BiCdO3,-1.363
MoCeO3,-8.761
GaZnO3,-4.946
PaTeO3,-0.625
YUO3,2.281
BOsO3,2.486
FeTiO3,1.521
MgTaO3,4.980
GeGaO3,-1.290
ThRuO3,0.279
CuSmO3,-3.935
PrAlO3,6.474
PmHfO3,4.916
ZnTeO3,-0.011
TeCdO3,-6.257
AlCaO3,-9.223
Hg2O3,-2.399
GaTlO3,-5.618
TaCdO3,-12.014
TmCuO3,0.436
ThBiO3,-0.399
GaHfO3,0.750
PbGaO3,-0.404
GeMnO3,0.575
CePrO3,3.116
PbTbO3,-0.948
IrHoO3,-8.170
ZnEuO3,-6.161
NdEuO3,-1.378
CuTiO3,-0.660
PrPuO3,2.766
SmPdO3,0.347
GdHoO3,1.857
AsErO3,-4.874
SnKO3,-9.860
RhCuO3,-4.112
CdPrO3,-3.287
TaIrO3,-7.068
YbPdO3,-0.557
LaZnO3,0.433
PmCoO3,2.990
LuKO3,-4.315
BBiO3,-0.018
LiTaO3,5.721
OsLiO3,-7.455
ZnBaO3,-8.098
NdYbO3,-1.216
AcBiO3,2.653
TiVO3,2.541
PmNiO3,1.376
TbNiO3,1.113
CaTcO3,3.419
BMnO3,-3.248
CrYbO3,-6.976
BiPdO3,0.454
GaNdO3,-4.496
NdThO3,3.009
HgLaO3,-3.253
BZrO3,-1.320
BPbO3,-3.923
LiMnO3,-1.049
TlTmO3,-2.758
NbZrO3,-1.584
BeBiO3,-3.488
ZnRbO3,-13.533
CdSiO3,4.290
UNbO3,3.631
TbHfO3,4.589
NpRuO3,1.542
NbZnO3,-4.159
TbNdO3,-1.764
LiMgO3,-5.461
NdZnO3,0.328
GaThO3,-0.240
TiTcO3,0.895
HfBaO3,-7.285
ZnHgO3,-3.539
TaSmO3,-11.247
EuGeO3,4.364
YCeO3,-2.979
BiBO3,3.534
NaTcO3,3.629
TmGeO3,2.604
UAlO3,4.383
TeRuO3,1.096
ZnPdO3,-1.370
YbCaO3,-2.843
ScLiO3,-2.605
HgMgO3,-3.100
MoSrO3,-13.854
